,healthex_per_gov,age_dependency,trade_per_gdp,pcgni_current_dollar,mater_death_risk,lifeexp_total
Greece,9.13887996,19.9478329084134,39.4202015006667,14620.2746917994,0.00422204071228985,81.0365853658537
Guatemala,14.930457,4.50732010581311,44.4070362474016,3302.93478443682,0.306323593648507,73.15
Guyana,7.78911881,5.03321995435347,82.6623807250755,3628.25188401438,0.586945692737344,66.536
High income,18.6147800610328,16.7775535891379,46.1065610788877,32702.151223709,0.021872971605429,80.3320324337584
Honduras,11.27738356,4.41446879524205,92.1025446888958,2019.97690510118,0.336916900103147,73.376
Croatia,11.69645433,18.8831675801036,67.7651684784132,9681.3447367021,0.0127185363362245,77.2756097560976
Haiti,3.34669436,4.63087643698416,52.3244691115654,766.23472915454,1.10619463243244,63.055
Hungary,9.65122009,17.4956880801928,155.115683882878,9650.37504274597,0.0228129148630104,75.5682926829269
Indonesia,7.36983646,5.09506791959051,34.0430688568135,2566.4139266305,0.314212197628261,69.025
India,3.36987623,5.63624534413776,31.4075978250264,1380.03312522077,0.452792530554897,68.302
Ireland,18.38606052,13.2298690221308,68.9902921464289,34338.5652338747,0.0163693376739088,81.4536585365854
"Iran, Islamic Rep.",22.59989396,5.03463014283166,27.1850062545581,3775.73909536383,0.0499417079913502,75.73
Iraq,1.6955982,3.07380603903865,49.8302585513513,3871.77442812693,0.240564754476377,69.672
Iceland,16.35708498,13.714143827424,59.3181322808687,42822.4683418309,0.00686636619335339,82.4682926829268
Italy,13.35084053,22.3628707157739,47.3841703693055,24539.2727553408,0.00506532246229972,82.5439024390244
Jamaica,12.56286535,9.30317340161717,44.2234533251376,4394.19550211043,0.193707566750657,75.836
Jordan,12.35476375,3.76298324916025,75.4526481570081,3677.08278274346,0.203553824435187,74.182
Kazakhstan,10.91254179,6.75390858455334,41.5012477237625,8033.35509901985,0.0336977912675616,72.0
Kenya,6.29392616,2.58038639342713,34.3699561251936,1121.07078398314,2.353192765234,66.695
Kyrgyz Republic,9.87512251,4.27911066950069,83.0799915359124,825.347746303964,0.256826817934911,70.6512195121951
Cambodia,6.11762138,4.11931328453079,113.095372280041,968.796872582646,0.472972946499204,68.62
Kiribati,6.25806452,3.70350600941223,80.4708462298321,2874.56091925612,0.336763990364558,66.13
"Korea, Rep.",12.86023372,12.9654659115207,69.6615605491675,21881.3533513437,0.0138101058747008,82.0243902439024
Kuwait,6.20634497,2.0641070137309,74.2669315399888,27112.1098290673,0.00969638391141188,74.577
Latin America & Caribbean (excluding high income),9.45033637435123,7.14899129486824,39.0119868536588,6686.06629755576,0.154293316243594,75.0776424083584
Lao PDR,3.76100371,3.88537338195102,55.6048814313533,1608.17383543461,0.665026487247151,66.335
Lebanon,14.33259002,8.14291566286062,46.2399625825173,6826.14640451479,0.0272700650371935,79.409
Liberia,2.68032844,3.02354353844468,62.0239219389361,247.53179790543,3.55258818700446,62.007
St. Lucia,8.50652751,9.39471575454556,46.2589386868964,7477.75227501563,0.091171388763023,75.3
Latin America & Caribbean,10.3198102893854,7.59713132036278,37.6813570004276,7348.58123063646,0.148491982143912,75.3354843581914
Sri Lanka,7.94759547,9.29896823603701,36.5751953847392,3461.48696241297,0.0634978920148956,75.088
Lesotho,9.31334937,4.44008102471898,114.009557591947,1061.7001613066,1.62713877293158,53.745
Late-demographic dividend,10.1335522993687,9.60939883140767,45.8173765784845,6543.8651354608,0.0575871322364848,75.5296671748282
Lithuania,12.21558667,18.685089596395,129.11206443814,11784.1975741708,0.0158638989890202,74.3219512195122
Luxembourg,12.1184776,13.9942231107331,70.0464755538145,55156.6777427882,0.0154797646652159,82.2926829268293
Latvia,8.94220691,19.2836420408268,98.7054009114927,10445.3050827665,0.0288391334987705,74.4804878048781
Morocco,7.74978996,6.39615666573438,59.729835134343,2485.30412385476,0.311359166630691,75.573
Moldova,12.21452841,9.93829285928608,91.4126265223407,1841.15578457682,0.0314954259234527,71.468
Madagascar,15.61053558,2.83405342094986,49.6420311339214,356.577768373198,1.66981789789433,65.539
Maldives,22.75885011,4.10274304916552,51.9783206464312,9214.26260423192,0.166768373552638,77.042
Mexico,11.2512103,6.48177654137789,67.1325891473248,7788.53525421579,0.0888611041768879,76.933
Mali,4.45718501,2.53395584645096,49.7502700938709,568.57202125418,3.74089087682092,57.478
Myanmar,4.94370687,5.31848065829131,47.4369713390022,1032.30031538324,0.384770651869194,66.464
Montenegro,8.81254834,13.8936734492453,58.99970264368,5920.17083040785,0.0120434599757848,76.938
Mongolia,6.00054493,3.88480948322688,72.0601989980764,2904.07945666161,0.125374056428275,69.087
Mozambique,1.22300596,3.13271100666528,79.3834548414401,419.292993969242,2.530774160985,57.714
Mauritania,5.53024312,3.10020153784687,68.8770708941645,737.15717470716,2.74400578178089,63.082
Mauritius,9.94869374,9.95405953046395,63.735212432708,7644.14945856131,0.0778929624701718,74.3531707317073
Malawi,10.76564402,3.00469903532041,53.2182933653027,249.905270629862,3.45241418671994,62.661
Malaysia,8.30122738,5.86259777031363,126.474441447399,7616.3832996592,0.0815062696640714,75.143
North America,22.3577468104122,14.791692652351,23.6622879639199,47594.2523806522,0.0246160153273359,79.0358831161833
Namibia,12.93001851,3.47981353592014,100.972615808213,4162.81318473083,0.984469884937512,63.782
Niger,4.58596815,2.54233748714942,42.4419501560951,292.587196200646,4.36993037066367,59.667
Nigeria,5.29926609,2.73619013182697,20.0977315572668,2242.15149233393,4.50885329432898,52.985
Nicaragua,17.40532411,5.08532094932042,94.4902685251646,1832.28023015765,0.370522098758063,75.149
Netherlands,19.03054152,17.9201887959494,142.874750656448,37001.5299572242,0.0115154643304214,81.509756097561
Norway,17.45961202,16.3030334033612,46.6028725469553,61142.7609818137,0.0086991588829894,82.3048780487805
Nepal,5.51830118,5.47615702553458,34.4323328144783,700.60308793563,0.647685537723153,69.887
OECD members,18.4614122408798,16.1824955976263,42.5221378159426,30511.6096606835,0.0255503920357649,80.0540775191876
Oman,6.68539324,2.31436660229868,88.4311802521326,10652.7579011039,0.0539385413233686,76.801
Pakistan,3.74147562,4.48490178078671,24.3513982752337,1428.11297028374,0.69344409134829,66.322
Panama,11.33919963,7.55510677208711,61.884288116459,11162.2865194568,0.239530168075103,77.806
Peru,14.43387024,6.82514406961784,38.0880754465098,5042.29725465707,0.174471819702448,74.747
Philippines,7.37759881,4.57191256718106,45.6249973785267,3182.53862065383,0.352038150444247,68.951
Papua New Guinea,8.73663621,3.64506791501075,54.9107507910949,2173.40484562495,0.805261110970108,65.384
